,Raw,Root
143,mentioned,mention
144,so,so
145,classrooms,classroom
146,Antivirus,antivirus
147,chat,chat
148,sockets,socket
149,these,these
150,distance,distanc
151,same,same
152,also,also
153,single,singl
154,PC,pc
155,FTP,ftp
156,Internet,internet
157,themselves,themselv
158,world,world
159,laser,laser
160,disk,disk
161,personal,person
162,video,video
163,parts,part
164,bank,bank
165,software,softwar
166,images,imag
167,interfaces,interfac
168,washing,wash
169,treatment,treatment
170,services,servic
171,referred,refer
172,CDs,cds
173,engines,engin
174,and,and
175,done,done
176,processed,process
177,animation,anim
178,File,file
179,popular,popular
180,databases,databas
181,Connecting,connect
182,commonly,common
183,only,onli
184,each,each
185,input,input
186,AskJeeves,askjeev
187,most,most
188,help,help
189,resources,resourc
190,working,work
191,called,call
192,decide,decid
193,desktop,desktop
194,phones,phone
195,choices,choic
196,Note,note
197,allow,allow
198,communication,communic
199,forms,form
200,laid,laid
201,best,best
202,term,term
203,camera,camera
204,Wide,wide
205,files,file
206,clipart,clipart
207,cars,car
208,time,time
209,fridges,fridg
210,program,program
211,situations,situat
212,packaged,packag
213,or,or
214,WWW,www
215,PCs,pcs
216,stay,stay
217,boardrooms,boardroom
218,computer,comput
219,an,an
220,often,often
221,There,there
222,applied,appli
223,It,it
224,texts,text
225,being,be
226,processes,process
227,future,futur
228,searched,search
229,They,they
230,creating,creat
231,computers,comput
232,main,main
233,downloading,download
234,programs,program
235,touch,touch
236,painting,paint
237,in,in
238,‘think’,think
239,moving,move
240,learning,learn
241,company,compani
242,by,by
243,peripherals,peripher
244,device,devic
245,Computer,comput
246,on,on
247,start,start
248,provide,provid
249,photographs,photograph
250,system,system
251,telecommute,telecommut
252,very,veri
253,attach,attach
254,person,person
255,can,can
256,from,from
257,possible,possibl
258,editing,edit
259,actually,actual
260,uses,use
261,small,small
262,down,down
263,chip,chip
264,microchip,microchip
265,displayed,display
266,An,an
267,signals,signal
268,allows,allow
269,Electronics,electron
270,part,part
271,newest,newest
272,Devices,devic
273,attached,attach
274,networks,network
275,wide,wide
276,account,account
277,cannot,cannot
278,experts,expert
279,multimedia,multimedia
280,output,output
281,enclosed,enclos
282,text,text
283,pictures,pictur
284,paper,paper
285,The,the
286,is,is
287,fo,fo
288,graphical,graphic
289,way,way
290,printing,print
291,which,which
292,other,other
293,added,ad
294,more,more
295,producing,produc
296,balances,balanc
297,videoconferencing,videoconferenc
298,mathematical,mathemat
299,expansion,expans
300,smart,smart
301,are,are
302,mouse,mous
303,One,one
304,Services,servic
305,television,televis
306,attachments,attach
307,be,be
308,harmful,harm
309,purposes,purpos
310,related,relat
311,looks,look
312,Web,web
313,powerful,power
314,Cat’,cat
315,Net,net
316,although,although
317,relevant,relev
318,communicating,communic
319,such,such
320,reading,read
321,hear,hear
322,Websites,websit
323,out,out
324,case,case
325,provides,provid
326,to,to
327,machines,machin
328,internet,internet
329,Not,not
330,threedimensional,threedimension
331,How,how
332,hard,hard
333,simply,simpli
334,without,without
335,‘computer,comput
336,data,data
337,boards,board
338,information,inform
339,CDROMs,cdrom
340,connected,connect
341,plastic,plastic
342,built,built
343,readydrawn,readydrawn
344,unit,unit
345,This,this
346,sending,send
347,calculating,calcul
348,messages,messag
349,users,user
350,password,password
351,people,peopl
352,‘connectivity’,connect
353,come,come
354,service,servic
355,interactive,interact
356,viruses,virus
357,screen,screen
358,Protocol,protocol
359,wordprocessing,wordprocess
360,have,have
361,transferring,transfer
362,communicate,communic
363,health,health
364,over,over
365,scanning,scan
366,edutainment,edutain
367,instructions,instruct
368,taking,take
369,3’,3’
370,Those,those
371,A,a
372,Some,some
373,Relay,relay
374,webpage,webpag
375,storing,store
376,vacuumsealed,vacuums
377,use,use
378,enables,enabl
379,what,what
380,formulae,formula
381,gradually,gradual
382,capital,capit
383,diagnose,diagnos
384,digital,digit
385,licences,licenc
386,typewriter,typewrit
387,expert,expert
388,client,client
389,copying,copi
390,office,offic
391,sound,sound
392,realtime,realtim
393,printer,printer
394,mail,mail
395,records,record
396,give,give
397,security,secur
398,As,as
399,this,this
400,memory,memori
401,range,rang
402,inputting,input
403,of,of
404,Unlike,unlik
405,drivers’,driver
406,cards,card
407,developed,develop
408,sometimes,sometim
409,doctors,doctor
410,like,like
411,IBM,ibm
412,name,name
413,process,process
414,superhighway,superhighway
415,network,network
416,throughout,throughout
417,webpages,webpag
418,sizes,size
419,according,accord
420,education,educ
421,into,into
422,usually,usual
423,around,around
424,read,read
425,material,materi
426,devices,devic
427,all,all
428,externally,extern
429,wordprocessors,wordprocessor
430,IRC,irc
431,types,type
432,disks,disk
433,spreadsheets,spreadsheet
